entity_name,entity_id,total_views
Česká_pirátská_strana,2,345326
ANO_2011,1,343649
Česká_strana_sociálně_demokratická,3,316615
Občanská_demokratická_strana,6,259167
TOP_09,11,226052
Komunistická_strana_Čech_a_Moravy,5,218736
Svoboda_a_přímá_demokracie,10,206858
Starostové_a_nezávislí,8,147836
Strana_zelených,9,121445
Trikolóra_hnutí_občanů,12,110244
KDU-ČSL,4,94400
Přísaha_-_občanské_hnutí_Roberta_Šlachty,7,16282
Trikolora_Svobodní_Soukromníci,13,2376
